ticker,risk_level
AAPL,Medium
ABT,Low
ADBE,High
AMZN,Med-High
AXP,Medium
BA,High
BAC,Med-Low
BMY,Medium
BRK-B,Low
C,Med-High
CAT,Med-High
COP,Medium
COST,Low
CRM,High
CVX,Med-Low
DE,Medium
DHR,Medium
EOG,Medium
GE,Med-High
GOOGL,Med-High
GS,Medium
HD,Med-Low
HON,Low
JNJ,Low
JPM,Med-Low
KO,Low
LLY,High
LMT,Med-Low
LOW,Med-Low
MA,Low
MCD,Low
META,High
MMM,Med-High
MRK,Med-Low
MS,Med-High
MSFT,Med-Low
NEE,Medium
NKE,High
NVDA,High
ORCL,High
PEP,Low
PFE,Med-Low
RTX,Med-Low
SBUX,Med-High
SLB,Med-High
TGT,High
TMO,Medium
TSLA,High
UNH,High
UPS,Med-High
V,Low
WFC,Med-High
WMT,Low
XOM,Med-Low
